Application ID,Long,Lat,Coordination,Address
2,106.6724335,10.7898161,"106.67243348213263,10.789816101892798","Phú Nhuận,Hồ Chí Minh"
3,0,0,"0,0","Gò Vấp,Hồ Chí Minh"
4,106.6803039,10.80657728,"106.68030393818181,10.806577278696139","Phú Nhuận,Hồ Chí Minh"
5,0,0,"0,0","Bình Thạnh,Hồ Chí Minh"
6,0,0,"0,0","Thống Nhất,Đồng Nai"
7,106.664329,10.75520108,"106.66432897338268,10.755201075415764","Thị Trấn Củ Chi,Củ Chi HCM"
8,0,0,"0,0","Thị Xã Đức Phổ,C"
9,108.2021783,16.0770248,"108.2021783,16.0770248","Thanh Khê,Đà Nẵng"
10,108.1641025,16.0690798,"108.16410250652451,16.06907979745816","Hòa Vang,Đà Nẵng"
12,0,0,"0,0","Phú Riềng,Bình Phước"
13,0,0,"0,0","Bình Tân,Vĩnh Long"
14,108.2267069,16.01832404,"108.22670694582573,16.018324037862108","Hội An,Quảng Nam"
15,0,0,"0,0","Long Mỹ,Hậu Giang"
16,0,0,"0,0","Quốc Oai,Hà Nội"
17,106.6507937,10.7678591,"106.6507937,10.7678591","11,Hồ Chí Minh"
18,0,0,"0,0","Chương Mỹ,Hà Nội"
19,108.1692819,16.05951224,"108.1692819470919,16.059512239539387","Liên Chiểu,Đà Nẵng"
20,106.8597445,11.42359762,"106.8597445127298,11.423597620333602","Đồng Phú,Bình Phước"
21,107.4606355,11.0271892,"107.4606355,11.0271892","Đức Linh,Bình Thuận"
22,0,0,"0,0","Lập Thạch,Vĩnh Phúc"
7,0,0,"0,0","Ba Vì,Hà Nội"
23,0,0,"0,0","Ba Vì,Hà Nội"
24,105.8540791,21.00942522,"105.85407906928309,21.00942522055319","Hai Bà Trưng,Hà Nội"
25,0,0,"0,0","Nam Trực,Nam Định"
26,105.769674,10.022316,"105.769674,10.022316","Ninh Kiều,Cần Thơ"
27,108.1635228,16.067197,"108.1635228,16.067197","Nam Giang,Quảng Nam"
28,0,0,"0,0","Hải Châu,Đà Nẵng"
29,106.5800776,10.83157685,"106.58007762973426,10.83157685340769","Bình Chánh,Hồ Chí Minh"
30,106.7366875,10.9074447,"106.7366875,10.9074447","Thuận An,Bình Dương"
31,106.7182465,10.73219299,"106.7182464599609,10.732192993164059","Buôn Ma Thuột,Đắk Lắk"
32,108.7602688,15.0306816,"108.7602688,15.0306816","Minh Long,Quảng Ngãi"
33,105.8552,21.0242,"105.8552,21.0242","Thanh Xuân,Hà Nội"
34,105.7996846,20.96364092,"105.79968456877373,20.963640921446306","Hưng Hà,Thái Bình"
35,0,0,"0,0","Bình Sơn,Quảng Ngãi"
36,106.7769505,10.9916933,"106.7769505,10.9916933","Thị Xã Tân Uyên,Bình Dương"
37,0,0,"0,0","5,Hồ Chí Minh"
38,0,0,"0,0","Ninh Kiều,Cần Thơ"
39,106.6948881,10.7902531,"106.6948881,10.7902531","Buôn Ma Thuột,Đắk Lắk"
40,0,0,"0,0","Hồng Dân,Bạc Liêu"
41,0,0,"0,0","Biên Hòa,Đồng Nai"
42,105.5911397,21.2774101,"105.5911397,21.2774101","Yên Lạc,Vĩnh Phúc"
43,0,0,"0,0","Phù Ninh,Phú Thọ"
44,0,0,"0,0","Biên Hòa,Đồng Nai"
45,106.1286189,11.2862754,"106.1286189,11.2862754","Hòa Thành,Tây Ninh"
46,0,0,"0,0","1,Hồ Chí Minh"
47,0,0,"0,0","Đô Lương,Nghệ An"
48,105.798519,20.9634621,"105.798519,20.9634621","Đông Hưng,Thái Bình"
49,105.7013785,18.6842235,"105.7013785,18.6842235","Nghi Xuân,Hà Tĩnh"
50,106.7291545,10.71535892,"106.72915450708835,10.715358915674207","Bình Thạnh,Hồ Chí Minh"
51,105.8307246,21.00644223,"105.83072460781673,21.0064422254846","Thường Tín,Hà Nội"
52,105.8591617,21.0044728,"105.85916172022888,21.00447280169023","Mê Linh,Hà Nội"
53,0,0,"0,0","Vũng Tàu,Bà Rịa - Vũng Tàu"
54,0,0,"0,0","Tân Bình,Hồ Chí Minh"
55,106.6813319,10.8206971,"106.6813319,10.8206971","Q1,Hồ Chí Minh"
56,108.0994371,10.93771264,"108.09943713710284,10.937712642313613","Phan Thiết,Bình Thuận"
57,105.8341598,21.0277644,"105.8341598,21.0277644","Hà Đông,Hà Nội"
58,106.6594086,10.7979642,"106.6594086,10.7979642","Hòa Thành,Tây Ninh"
59,105.0950882,9.977036526,"105.09508815483784,9.977036526337914","Rạch Giá,Kiên Giang"
60,105.3396712,18.7360656,"105.3396712,18.7360656","Thanh Chương,Nghệ An"
61,0,0,"0,0","Thuận An,Bình Dương"
62,0,0,"0,0","Chương Mỹ,Hà Nội"
63,0,0,"0,0","Thanh Xuân,Hà Nội"
64,105.4895164,19.3280867,"105.4895164,19.3280867","Nghĩa Đàn,Nghệ An"
65,105.8865152,21.2860928,"105.8865152,21.2860928","Gia Lâm,Hà Nội"
66,105.8523213,20.97836665,"105.85232126990522,20.97836664557911","Hoàng Mai,Hà Nội"
67,105.9626792,20.24803372,"105.96267920264268,20.24803371680084","Ninh Bình,Ninh Binh"
68,0,0,"0,0","Chơn Thành,Bình Phước"
69,106.6615429,10.8323844,"106.6615429,10.8323844","Gò Vấp,Hồ Chí Minh"
70,0,0,"0,0","Hoàng Mai,Hà Nội"
71,0,0,"0,0","Cầu Giấy,Hà Nội"
72,105.8030025,21.00300205,"105.8030024983359,21.003002047507586","Lê Chân,Hải Phòng"
73,105.8174315,21.02644119,"105.81743152398174,21.026441194799894","Tây Hồ,Hà Nội"
74,106.3900518,20.72972885,"106.39005179092972,20.729728845816435","Ninh Giang,Hải Dương"
75,106.5646494,10.62201726,"106.56464942409578,10.622017264940029","Cần Đước,Long An"
76,105.6556201,18.7316287,"105.6556201,18.7316287","Quỳ Hợp,Nghệ An"
77,0,0,"0,0","Tân Bình,Hồ Chí Minh"
78,0,0,"0,0","Châu Thành,Tây Ninh"
80,105.6682811,18.664011,"105.6682811,18.664011","Hưng Nguyên,Nghệ An"
81,0,0,"0,0","Nam Từ Liêm,Hà Nội"
82,0,0,"0,0","Vinh,Nghệ An"
83,0,0,"0,0","Phúc Yên,Vĩnh Phúc"
84,0,0,"0,0","Ba Đình,Hà Nội"
85,0,0,"0,0","Phú Xuyên,Hà Nội"
86,0,0,"0,0","Thạch Thất,Hà Nội"
87,105.8645483,21.0001832,"105.8645483,21.0001832","HBT,Hà Nội"
88,106.8271193,10.9531522,"106.8271193,10.9531522","Biên Hòa,Đồng Nai"
89,0,0,"0,0","Hạ Long,Quảng Ninh"
90,0,0,"0,0","Nga Sơn,Thanh Hóa"
91,105.9637948,21.05888121,"105.96379480144387,21.058881210409606","Gia Lâm,Hà Nội"
92,0,0,"0,0","Hoàng Mai,Hà Nội"
93,0,0,"0,0","ĐĐa,Hà Nội"
94,106.4170397,21.076372,"106.4170397,21.076372","Chí Linh,Hải Dương"
95,105.560019,19.2933052,"105.560019,19.2933052","Quỳnh Lưu,Nghệ An"
96,0,0,"0,0","Bắc Giang,Bắc Giang"
97,0,0,"0,0","Biên Hòa,Đồng Nai"
98,0,0,"0,0","Châu Thành,Tiền Giang"
99,106.6796835,10.7392966,"106.6796835,10.7392966","8,Hồ Chí Minh"
100,0,0,"0,0","Hà Đông,Hà Nội"
101,0,0,"0,0","Nam Từ Liêm,Hà Ni"
102,0,0,"0,0","Thống Nhất,Đồng Nai"
103,105.8562439,20.99752876,"105.85624390273053,20.997528756046965","Hai Bà Trưng,Hà Nội"
104,105.7564156,21.5587771,"105.7564156,21.5587771","Thái Nguyên,Thái Nguyên"
105,0,0,"0,0","Nam Sách,Hải Dương"
106,106.2899773,18.0753448,"106.2899773,18.0753448","Thị Xã Kỳ Anh,Hà Tĩnh"
107,106.7269044,10.72305741,"106.7269044048087,10.723057405139237","Pleiku,Gia Lai"
108,106.4918396,20.2652252,"106.4918396,20.2652252","Giao Thủy,Nam Định"
109,105.7226752,20.9846272,"105.7226752,20.9846272","Hoài Đức,Hà Nội"
110,105.7602329,21.03570564,"105.7602328780858,21.035705635664236","Nam Từ Liêm,Hà Nội"
111,105.86024,21.0164559,"105.86024,21.0164559","Hà Đông,Hà Nội"
112,106.690683,10.7668938,"106.690683,10.7668938","1,Hồ Chí Minh"
113,0,0,"0,0","Tây Hồ,Hà Nội"
114,0,0,"0,0","Cẩm Khê,Phú Thọ"
115,106.8990464,11.5310592,"106.8990464,11.5310592","Đồng Xoài,Bình Phước"
116,106.4514804,21.12963219,"106.45148043255628,21.129632186532945","Chí Linh,Hải Dương"
117,106.6450702,10.7848859,"106.6450702,10.7848859","Tân Phú,Hồ Chí Minh"
118,104.9165824,11.5376128,"104.9165824,11.5376128","7,Hồ Chí Minh"
119,105.7880787,21.07569422,"105.7880786589127,21.075694223590666","Bắc Từ Liêm,Hà Nội"
120,106.7140018,10.87138005,"106.71400178445,10.871380054012086","Thủ Đức,Hồ Chí Minh"
121,0,0,"0,0","Long Biên,Hà Nội"
122,105.8064282,21.0286381,"105.8064282,21.0286381","ĐĐa,Hà Nội"
123,106.1535802,20.4168361,"106.1535802,20.4168361","Nam Định,Nam Định"
