HH Profile_ID,14Q_Scheme,Q01_Income_C,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill_C,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type
2,Scheme 1,240000000,Lao động tự do,Quản lý cấp trung,Không,688000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác
3,Scheme 2,300000000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,457000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 1 ngôi nhà khác,Không,"Có khoản vay mua nhà, mua ô tô"
4,Scheme 2,180000000,Khác,Nhân viên,Class 7,765000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
5,Scheme 3,232680000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,562000,3,Apple,Class 4,Có,Class - Special / 1,Thuê Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
6,Scheme 1,360000000,Nhân viên văn phòng cho cty vừa và nhỏ,Quản lý cấp trung,Không,397000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
7,Scheme 2,120000000,Lao động tự do,Không có / Chức vụ khác,Không,1309000,>4,Samsung / Vivo / OPPO,Class 3,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay tiêu dùng
9,Scheme 2,235490400,Khác,Không có / Chức vụ khác,Không,963000,>4,"Khác (Xiaomi, Realme, ...)",Class 4,Không,Class - Special / 1,Thuê Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
10,Scheme 3,120000000,Khác,Không có / Chức vụ khác,Không,500000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
12,Scheme 1,302966400,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Không,679000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
13,Scheme 2,84000000,Làm nông,Không có / Chức vụ khác,Không,984000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
14,Scheme 3,78000000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,691000,2,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
15,Scheme 3,18000000,Làm nông,Không có / Chức vụ khác,Không,211000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
18,Scheme 2,161160000,Khác,Không có / Chức vụ khác,Không,703000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
19,Scheme 3,192000000,Công chức nhà nước,Không có / Chức vụ khác,Không,679000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
20,Scheme 2,190800000,Công chức nhà nước,Không có / Chức vụ khác,Không,1076000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
